MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,BT,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,Freq,3rd Party Synd. Remarks,ADU Baths Full,ADU Baths Partial,ADU Bedrooms,ADU Building Type,ADU Description,ADU Kitchen,ADU Main Entry Floor,ADU Meter,ADU Occupied,ADU Rents For,ADU Sq. Ft.,ADU SqFt Source,ADU Y/N,Age,Agent Has Ownership,Agent Hit Count,Agent Related to Principal,Assessors Parcel No,Associated Document Count,Available to Show,Board ID,Branded Media Link,Branded Media Link 2,Builder/Architect,Buyer Agent DRE Num.,Buyer Broker DRE Number,Census Tract,City Transfer Tax,Class,Client Hit Count,Closing Date,Co Buy Agent DRE Num.,Co List Agent DRE Num.,Co-List Agent email,Co-List Agent Fax,Complex Name,Concessions at COE,Confidential Remarks,County,Cross Street,Cumulative DOM,Cumulative DOMLS,Days On MLS,Directions to Property,Disclosures Link,Dist/Nbrhood/Sub,Elementary School Distric,Entry Agent First Name,Entry Agent ID,Entry Agent Last Name,Entry Agent License ID,Expire Date,Filtered Address,FIPS Code,Fireplaces,Floor Unit is on,Foreclosure Status,Gate Code,General Date,Geocode Quality,High School District,HOA,HOA Management Companies,HOA Name,HOA Name (Other),HOA Phone,Homesnap Appt. Scheduling,Hotsheet Date,How Sold,Input Date,List $/SqFt,List Agent DRE Num.,List Date,Listing Agt email,Listing Agt Fax,Listing Broker DRE Number,Listing Service,Listing Type,Listing Visibility Type,Lockbox Location,Model,New Subdivision,Number of offers,Occpnt Req 24 Hr Notice,Occupant Name,Occupant Phone,Occupied By,Off Market Date,Old Complex,Old Concessions,Old Elem,Old High,Old HOA Name,Old Middle,Old MLS #,Old Subdivision,Original Price,Ownership Type,Pending Date,Pending Litigation,Percent Owner Occ,Photo Permission,Picture Count,Point of Sale Ordinance,Pool,Preferred Agent Fax,Previous Price,Price,Price Date,Price Per SQFT,Primary Showing Contact,Primary Showing Phone,Printed Neighborhood Rpt,Property ID,Public Remarks,Radar ID,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Sales Office Info Remarks,Showing Instruction,Showing Schedule Link,Sold Price Per SQFT,Source,Special Information,State,Status Date,Stories,Subdivision (Other),Subdivision Profile Rmks,Supra Box?,Tax ID,TIC % Owner Offered,Total # of Garage and Parking Spaces,Unbranded Media Link,Unbranded Media Link 2,Units in Complex,Update Date,VOW Address,VOW AVM,VOW Comment,VOW Include,WiFi Last,ZIDX Only House #,ZIDX Only Street Dir,ZIDX Only Street Name,Zip,Zoning
ME223066372,SLD,4,4700 H Street,,SACRAMENTO,9999,"$749,900","$800,000",DE,1605.0,3.0,2.0,0.0,,2.0,1951.0,0.170000,"7,405",,,"Sharp East Sac 3-bedroom, 2-bath home boasting 1605 square feet of comfortable living space. Step inside and be greeted by the elegance of hardwood floors and cool natural light, creating a bright and airy atmosphere throughout. This well-maintained property features a delightful breakfast nook and a detached 2-car garage, providing ample parking and storage options. The front and back yards have been recently landscaped, creating a beautiful oasis for outdoor enjoyment. Inside, you'll discover a relaxing soaking tub, perfect for unwinding after a long day. Residents have the added benefit of excellent schools such as Caleb Greenwood Elementary and Sutter Middle School just a short distance away. With move-in readiness, you can settle in quickly and begin enjoying the many conveniences this home offers.",,,0.0,,,,,,,0.00,0,,No,72.0,,,,008-0062-001-000,0,Show,Datashare MetroList,,,,02028666,02045279,33.00,,RESIDENTIAL,,8/7/2023,,,,,,,Go and Show! Escrow open with Chicago Title. Appliances convey at no value or warranty. Disclosure Link: https://app.glide.com/share/6xdGJ4AV4D3SjPFbgmkymX/,Sacramento,47th Street,4,5,5,East on H St to 47th St. Corner 47th/H St.,,,,,,,,,,6067.0,2.0,,,,7/18/2023,,,No,,,,,,8/8/2023,Conventional,7/13/2023 5:00 PM,$467,1880488,7/14/2023,,,00999879,Full Service,Excl Right,Market Listing,,,,2.0,,,,Vacant,7/18/2023,,,,,,,223066372,,"$749,900",,7/18/2023,,,,36,,No,,,"$800,000",,$498.44,Justin Vierra,916-847-2205,,560539289.0,"Sharp East Sac 3-bedroom, 2-bath home boasting 1605 square feet of comfortable living space. Step inside and be greeted by the elegance of hardwood floors and cool natural light, creating a bright and airy atmosphere throughout. This well-maintained property features a delightful breakfast nook and a detached 2-car garage, providing ample parking and storage options. The front and back yards have been recently landscaped, creating a beautiful oasis for outdoor enjoyment. Inside, you'll discover a relaxing soaking tub, perfect for unwinding after a long day. Residents have the added benefit of excellent schools such as Caleb Greenwood Elementary and Sutter Middle School just a short distance away. With move-in readiness, you can settle in quickly and begin enjoying the many conveniences this home offers.",,,$498,,106.0,106.0,For Sale,,Vacant w/Lockbox,,$498.44,Assessor Auto-Fill,,CA,8/7/2023,One Story,,,No,,,0.0,https://my.matterport.com/show/?m=DXBot3zi6ZF&,,,8/25/2023,Yes,Yes,Yes,Yes,,,,,95819 3438,R-1
ME223007798,SLD,7,1362 55th Street,,SACRAMENTO,9999,"$580,000","$630,000",DE,1368.0,3.0,1.0,0.0,,2.0,1926.0,0.157300,"6,852",,,"Classic Beauty- Brick Tudor Welcome to 1362 55th Street in desirable East Sacramento. Close to shopping, dining, coffee house, East Portal Park, and Sac State. You will find Liv room w/Fireplace, dining area, 3 good sized bedrooms, 1 bath with original tile floor, breakfast nook and laundry rm. Wood floor under carpet, CH&A, large yard, and oversized garage -plenty of room for shop.",,,0.0,,,,,,,0.00,0,,No,97.0,,,,008-0291-012-0000,4,Contact Listing Agent,Datashare MetroList,,,,02037539,1022642.0,16.01,,RESIDENTIAL,,2/27/2023,,,,,,,Seller to review offers Tuesday 2/7/23 @ 5. Contact Roxanne w/questions 916-224-1541. Escrow open -Stewart Title -Nikki Davis #1924052- Trust. Washer/Dryer and refrig stay with no warranties. Basement Keys/ garage remote in laundry room- on wall.,Sacramento,Folsom,7,8,8,Folsom Blvd -east from Downtown to 55th St -left t,,,,,,,,,,6067.0,1.0,,,,2/8/2023,,,No,,,,,,3/1/2023,Conventional,1/31/2023 4:00 PM,$423,899873,2/1/2023,,,1908304.0,Full Service,Excl Right,Market Listing,Gas meter-driveway,,,8.0,,,,Vacant,2/8/2023,,0,,,,,223007798,,"$580,000",,2/8/2023,,,,26,,No,,,"$630,000",,$460.53,Roxanne Realmuto,916-224-1541,,560468205.0,"Classic Beauty- Brick Tudor Welcome to 1362 55th Street in desirable East Sacramento. Close to shopping, dining, coffee house, East Portal Park, and Sac State. You will find Liv room w/Fireplace, dining area, 3 good sized bedrooms, 1 bath with original tile floor, breakfast nook and laundry rm. Wood floor under carpet, CH&A, large yard, and oversized garage -plenty of room for shop.",,6.0,$460,,108.0,108.0,For Sale,,Call Showing Contact,,$460.53,Assessor Auto-Fill,,CA,2/27/2023,One Story,,,No,,,0.0,https://urldefense.com/v3/__https://fusion.realtourvision.com/idx/160648__;!!CHCva4lQ!DJEj-ib626iMl6HMpM-M3YZK_k62tL_RsqxZAyhHF_CI58tI2OtRXnqBQxhU1YspIxyuMF5QPhxCHdqQiMbipmxOR7pb2teS_e2xo9T2$,,,3/1/2023,Yes,Yes,Yes,Yes,,,,,95819 4215,R-1
ME224012913,SLD,2,839 53rd Street,,SACRAMENTO,9999,"$1,659,900","$1,659,900",DE,2613.0,4.0,3.0,0.0,,2.0,2024.0,0.137700,"5,998",,,"NEW CUSTOM 4 BDRM/3 BATH HOME IN FABULOUS EAST SACRAMENTO! This home is beautifully appointed throughout with designer tile, alder shaker cabinets, quartz countertops, wood floors, chef grade appliances, and timeless fixtures. Large kitchen with eating bar island, lots of storage, and a luxurious pantry with prep sink. The light dining area overlooks the green backyard and patio. Spacious living room with a beautiful wood panel fireplace wall as the focal point, along with panoramic glass doors leading to the covered patio, perfect for summer entertaining offering the perfect flow for indoor - outdoor living. Downstairs en-suite bedroom makes for a convenient guest quarter or a home office. The airy primary suite offers cathedral ceiling, two walk in closets and a spacious bathroom w double sinks and large shower. Secondary bedrooms features barn door and cathedral ceiling. Upstairs laundry room with cabinets and folding counter. 2 car garage and 2 off street parking spots. Walk or bike to all that East Sac has to offer! Selland's, McKinley Park, East Portal Park, and lots of eateries and cute stores. Your dream home awaits you!",,,0.0,,,,,,,0.00,0,,No,0.0,,,,008-0072-019-000,0,Contact Listing Agent,Datashare MetroList,,,,01887890,1834648.0,32.00,,RESIDENTIAL,,3/5/2024,,,,,,,Escrow with Kimberly LaPointe at Old Republic Title Co. Listing agent holds interest in the property.,Sacramento,J Street,2,3,3,J St to 53rd St,,,,,,,,,,6067.0,1.0,,,,2/24/2024,,,No,,,,,,3/6/2024,Cash,2/21/2024 4:00 PM,$635,1432721.0,2/22/2024,,,1291111.0,Full Service,Excl Right,Market Listing,,,,1.0,,,,Owner,2/24/2024,,,,,,,224012913,,"$1,659,900",,2/24/2024,,,,40,,No,,,"$1,659,900",,$635.25,Victoria Hanly,916-847-2758,,560624714.0,"NEW CUSTOM 4 BDRM/3 BATH HOME IN FABULOUS EAST SACRAMENTO! This home is beautifully appointed throughout with designer tile, alder shaker cabinets, quartz countertops, wood floors, chef grade appliances, and timeless fixtures. Large kitchen with eating bar island, lots of storage, and a luxurious pantry with prep sink. The light dining area overlooks the green backyard and patio. Spacious living room with a beautiful wood panel fireplace wall as the focal point, along with panoramic glass doors leading to the covered patio, perfect for summer entertaining offering the perfect flow for indoor - outdoor living. Downstairs en-suite bedroom makes for a convenient guest quarter or a home office. The airy primary suite offers cathedral ceiling, two walk in closets and a spacious bathroom w double sinks and large shower. Secondary bedrooms features barn door and cathedral ceiling. Upstairs laundry room with cabinets and folding counter. 2 car garage and 2 off street parking spots. Walk or bike to all that East Sac has to offer! Selland's, McKinley Park, East Portal Park, and lots of eateries and cute stores. Your dream home awaits you!",,,$635,,100.0,100.0,For Sale,,Call Showing Contact,,$635.25,Other,,CA,3/5/2024,Two Story,,,No,,,0.0,,,,3/6/2024,Yes,Yes,Yes,Yes,,,,,95819 3527,Res
ME223047063,SLD,6,711 48th Street,,SACRAMENTO,9999,"$1,249,950","$1,276,000",DE,2032.0,3.0,2.0,1.0,,1.0,1939.0,0.142600,"6,212",,,"Luxurious home on a treelined street in East Sacramento. Conveniently located and close to all of your personal needs. This home was refurbished in the last 5 years and since then has had a number of upgrades including full architecturally designed landscaping. Hardwood floors throughout, custom wood cabinets, indoor laundry, commercial appliances, kitchen island, Anderson doors, wine cellar; the list is long. Come see us today and stay for the next chapter of your life.",,,0.0,,,,,,,0.00,0,,No,84.0,,,,004-0312-017-000,0,Contact Listing Agent,Datashare MetroList,,,,01311227,1026478.0,34.00,,RESIDENTIAL,,6/12/2023,,,,,,,Easy to show. Call listing agent for appointment. Need one hour notice,Sacramento,H,6,7,7,H Street to 48th Street.,,,,,,,,,,6067.0,1.0,,,,5/31/2023,,,No,,,,,,6/13/2023,Cash,5/24/2023 5:00 PM,$615,01965295,5/25/2023,,,1965295.0,Full Service,Excl Right,Market Listing,,,,2.0,,,,Owner,5/31/2023,,0,,,,,223047063,,"$1,249,950",,5/31/2023,,,,88,,No,,,"$1,276,000",,$627.95,Pedro Gomez,916-873-0218,,560515905.0,"Luxurious home on a treelined street in East Sacramento. Conveniently located and close to all of your personal needs. This home was refurbished in the last 5 years and since then has had a number of upgrades including full architecturally designed landscaping. Hardwood floors throughout, custom wood cabinets, indoor laundry, commercial appliances, kitchen island, Anderson doors, wine cellar; the list is long. Come see us today and stay for the next chapter of your life.",,,$627,,102.0,102.0,For Sale,,Appointment Only,,$627.95,Assessor Auto-Fill,Offer As Is,CA,6/12/2023,One Story,,,No,,,0.0,https://tours.topnotch360.net/2133992,,,6/13/2023,Yes,Yes,Yes,Yes,,,,,95819 3147,R-1
ME223036768,SLD,7,561 Pico Way,,SACRAMENTO,9999,"$1,425,000","$1,620,000",DE,3318.0,4.0,3.0,0.0,,1.0,1971.0,0.149200,"6,499",,,"LUXE LIVING in Fabulous East Sacramento! This beautiful Tudor home is in a prime interior location featuring 3318 SF with 4 bedrooms 3 full baths. Grand scale formal living room and family rooms with gorgeous hardwood floors, picture windows, built-in cabinetry and 2 fireplaces. There is a cozy formal dining room plus a large dining area adjacent to the family room with views to the backyard gardens and open to the kitchen. The gourmet kitchen features a large center island with a granite countertop that seats 6 people, an electric oven, gas range with gas oven and a Sub Zero refrigerator. The large wet bar/butlers pantry has abundant storage. The LUXE primary suite has vaulted ceilings, multiple windows, a cozy sitting area leading to the beautiful primary bathroom with large soaking tub separate shower and vanity with dual sinks. Two very spacious guest bedrooms are upstairs along with the laundry room. Step outside to the gorgeous backyard featuring a patio that has a large vine covered pergola providing ample shade and an intimate setting for entertaining or relaxing in the spa. Situated in the highly desired area of East Sacramento in a very walkable neighborhood close to seve",,,0.0,,,,,,,0.00,0,,No,52.0,,,,004-0261-014-000,4,Contact Listing Agent,Datashare MetroList,,,,01254423,00625769,33.00,,RESIDENTIAL,,6/5/2023,,997109.0,,,,,Appointment Only! Please do not call the listing office. Please email a prequal Letter and proof of funds with Buyer's Full Name(s) to KimPaciniHauch@gmail.com and request your time to show the property. Our listing office will promptly respond to the email with availability to set the appointment during regular business hours or the next day if past 5PM. Thank you! ** Do not use Showingtime to schedule an appointment.,Sacramento,F Street,7,8,8,"Take H Street to 46th Street, follow this as it tu",,,,,,,,,,6067.0,2.0,,,,5/5/2023,,,No,,,,,,6/7/2023,Conventional,4/27/2023 5:00 PM,$429,01270624,4/28/2023,,,1338273.0,Full Service,Excl Right,Market Listing,,,,2.0,,,,Owner,5/5/2023,,0,,,,,223036768,,"$1,425,000",,5/5/2023,,,,52,,No,,,"$1,620,000",,$488.25,Listing Office,916-973-9300,,560503448.0,"LUXE LIVING in Fabulous East Sacramento! This beautiful Tudor home is in a prime interior location featuring 3318 SF with 4 bedrooms 3 full baths. Grand scale formal living room and family rooms with gorgeous hardwood floors, picture windows, built-in cabinetry and 2 fireplaces. There is a cozy formal dining room plus a large dining area adjacent to the family room with views to the backyard gardens and open to the kitchen. The gourmet kitchen features a large center island with a granite countertop that seats 6 people, an electric oven, gas range with gas oven and a Sub Zero refrigerator. The large wet bar/butlers pantry has abundant storage. The LUXE primary suite has vaulted ceilings, multiple windows, a cozy sitting area leading to the beautiful primary bathroom with large soaking tub separate shower and vanity with dual sinks. Two very spacious guest bedrooms are upstairs along with the laundry room. Step outside to the gorgeous backyard featuring a patio that has a large vine covered pergola providing ample shade and an intimate setting for entertaining or relaxing in the spa. Situated in the highly desired area of East Sacramento in a very walkable neighborhood close to several restaurants, shopping and McKinley Park.",,,$488,,113.0,113.0,For Sale,,Appointment Only,,$488.25,Assessor Auto-Fill,,CA,6/5/2023,Two Story,,,No,,,0.0,https://tours.topnotch360.net/2123380,,,6/7/2023,Yes,Yes,Yes,Yes,,,,,95819 2927,R-1
ME224067170,SLD,48,1107 47th Street,,SACRAMENTO,9999,"$2,195,000","$2,125,000",DE,3005.0,4.0,4.0,0.0,,0.0,1982.0,0.163000,"7,100",,,"Welcome to 1107 47th St, a stunning two-story home located in the prestigious Fab 40's of East Sacramento. This exquisite residence, with interior design by Colossus Manufacturing, features 4 bedrooms and 4 bathrooms within 3,005 sq ft of meticulously maintained living space. The open floor plan, enhanced by newly redone hardwood floors and new doors, allows for an abundance of natural light throughout. The living room's coffered ceilings with backlighting create a warm and inviting atmosphere, while the updated kitchen is equipped with a built-in KitchenAid fridge, stainless steel appliances, and a gas range. The elegant dining room and luxurious custom bathrooms further add to the home's charm. The completely remodeled backyard features a fully fenced pool, a courtyard with a fireplace, and a charming guest houseperfect for visitors or potential rental income. Additional highlights include new doors and drawers, a new pantry, new french doors, built-in cabinets in the family room, and updated lighting fixtures throughout. Don't miss the opportunity to own this remarkable home in one of Sacramento's most coveted neighborhoods.",,,0.0,,,,,,,0.00,0,,No,42.0,,,,008-0154-015-000,2,Contact Listing Agent,Datashare MetroList,,,,1898456.0,01359660,24.0,,RESIDENTIAL,,9/5/2024,,1304855.0,,,,,"Fireplaces convey as is. Security cameras, projector, projector screen, TVs & TV mounts, pool robot, bedside mounted lights in both primary and guest rooms, and water dispenser on counter do NOT convey. All offers should be sent to kim@houserealestate.com and tim@houserealestate.com",Sacramento,J St,48,49,49,"West on J St, left onto 47th St, property is on th",,,,,,,,,,6067.0,2.0,,,,8/6/2024,,,No,,,,,,9/6/2024,Conventional,6/18/2024 5:00 PM,$730,01887890,6/19/2024,,,1834648.0,Full Service,Excl Right,Market Listing,,,,2.0,,,,Owner,8/6/2024,,,,,,,224067170,,"$2,195,000",,8/6/2024,,,,90,,Private,,,"$2,125,000",,$707.15,Kim Squaglia,916-205-2681,,560686008.0,"Welcome to 1107 47th St, a stunning two-story home located in the prestigious Fab 40's of East Sacramento. This exquisite residence, with interior design by Colossus Manufacturing, features 4 bedrooms and 4 bathrooms within 3,005 sq ft of meticulously maintained living space. The open floor plan, enhanced by newly redone hardwood floors and new doors, allows for an abundance of natural light throughout. The living room's coffered ceilings with backlighting create a warm and inviting atmosphere, while the updated kitchen is equipped with a built-in KitchenAid fridge, stainless steel appliances, and a gas range. The elegant dining room and luxurious custom bathrooms further add to the home's charm. The completely remodeled backyard features a fully fenced pool, a courtyard with a fireplace, and a charming guest houseperfect for visitors or potential rental income. Additional highlights include new doors and drawers, a new pantry, new french doors, built-in cabinets in the family room, and updated lighting fixtures throughout. Don't miss the opportunity to own this remarkable home in one of Sacramento's most coveted neighborhoods.",,,$707,,96.0,96.0,For Sale,,Appointment Only,,$707.15,Owner,,CA,9/5/2024,Two Story,,,No,,,0.0,https://vimeo.com/964186636?share=copy,,,9/6/2024,Yes,Yes,Yes,Yes,,,,,95819 3703,R-1
ME222063870,SLD,286,838 El Dorado Way,,SACRAMENTO,9999,"$1,675,000","$1,600,000",DE,2746.0,4.0,3.0,1.0,,2.0,2009.0,0.137700,"5,998",,,"Experience this sophisticated yet comfortable modern luxury home built in 2009, featuring handsome polished concrete floors, stone counters, 2x6 exterior walls, wood cased windows, open Chef's Kitchen with a large island/breakfast bar, stainless steel appliances, walls of custom maple cabinets and a main level ensuite Bedroom/Full Bath. Recent upgrades include Anderson Renewal Windows, security screen doors, roof, gutters & downspouts, HVAC Unit, tankless water heater and garage door. Ideal for classy yet comfortable living, relaxation & entertaining within walking distance to Selland's Market, dining, shopping and minutes from downtown.",,,0.0,,,,,,,0.00,0,,No,14.0,,,,008-0072-007-0000,1,,Datashare MetroList,,,,01322198,1908304.0,32.00,,RESIDENTIAL,,3/14/2023,,,,,,,"The adjoining backyard garden lot at 839 53rd Street is also owned by this Seller. It is available for purchase with this house for an additional negotiated price. The lot line is directly under the power line. For more information, call Tom Harvey 916 599-3018.",Sacramento,H St,286,287,287,H St to El Dorado Way,,,,,,,,,,6067.0,1.0,,,,2/28/2023,,,No,,,,,,3/15/2023,Conventional,5/17/2022 5:00 PM,$609,01864883,5/18/2022,,,1908304.0,Full Service,Excl Right,Market Listing,,,,1.0,,,,Vacant,2/28/2023,,0,,,,,222063870,,"$1,675,000",,2/28/2023,,,,36,,No,,,"$1,600,000",,$582.67,Tom Harvey,916-599-3018,,560353511.0,"Experience this sophisticated yet comfortable modern luxury home built in 2009, featuring handsome polished concrete floors, stone counters, 2x6 exterior walls, wood cased windows, open Chef's Kitchen with a large island/breakfast bar, stainless steel appliances, walls of custom maple cabinets and a main level ensuite Bedroom/Full Bath. Recent upgrades include Anderson Renewal Windows, security screen doors, roof, gutters & downspouts, HVAC Unit, tankless water heater and garage door. Ideal for classy yet comfortable living, relaxation & entertaining within walking distance to Selland's Market, dining, shopping and minutes from downtown.",,,$582,,95.0,95.0,For Sale,,Call 1st Lockbox,,$582.67,Assessor Auto-Fill,,CA,3/14/2023,Two Story,,,No,,,0.0,https://fusion.realtourvision.com/idx/107491,,,3/15/2023,Yes,Yes,Yes,Yes,,,,,95819,R-1
ME224044100,SLD,6,834 56th Street,,SACRAMENTO,9999,"$435,000","$480,000",DE,950.0,2.0,1.0,0.0,,1.0,1951.0,0.158400,"6,900",,,"Great Investor Opportunity! East Sac Fixer, situated in a desirable neighborhood. This 2 bedroom/1 bathroom bungalow has traditional characteristics and East Sac charm, such as hardwood floors and iconic fireplace. Garage may be converted back to a functional garage or considered for ADU usage. Situated on a spacious lot, this property has tons of potential!",,,0.0,,,,,,,0.0,0,,No,73.0,,,,008-0082-006-000,0,,Datashare MetroList,,,,01944475,01026478,5.00,,RESIDENTIAL,,5/14/2024,,,,,,,"Probate Sale, Robert Valentini, Administrator, has full authority. Cash buyers only, priced to be sold in it's current condition-AS IS. Evidence of water damage in bathroom and new roofs needed. Garage conversion done without permits. 2 antique stoves do not convey. Escrow pre-opened with First American. NHD ordered through American Home Shield.",Sacramento,H Street,6,7,7,"East on H Street, Left on 56th St. Property on the",,,,,,,,,,6067.0,1.0,,,,5/5/2024,,,No,,,,,,5/15/2024,Other,4/28/2024 5:00 PM,$457,01978732,4/29/2024,,,1908304.0,Full Service,Excl Right,Market Listing,on gate to backyard,,,15.0,,,,Vacant,5/5/2024,,,,,,,224044100,,"$430,000",,5/5/2024,,,,34,,No,,,"$480,000",,$505.26,Crystal Lopez,916-743-8832,,560658173.0,"Great Investor Opportunity! East Sac Fixer, situated in a desirable neighborhood. This 2 bedroom/1 bathroom bungalow has traditional characteristics and East Sac charm, such as hardwood floors and iconic fireplace. Garage may be converted back to a functional garage or considered for ADU usage. Situated on a spacious lot, this property has tons of potential!",,,$505,,110.0,111.0,For Sale,,Call 1st Lockbox,,$505.26,Assessor Auto-Fill,Probate Listing,CA,5/14/2024,One Story,,,No,,,0.0,,,,5/15/2024,Yes,Yes,Yes,Yes,,,,,95819,R-1
ME224030920,SLD,12,5310 N Street,,SACRAMENTO,9999,"$750,000","$775,000",DE,2241.0,4.0,3.0,1.0,,0.0,1950.0,0.143600,"6,255",,,"AMAZING high water home with attached ADU in highly sought after East Sacramento. Well maintained main house with 3 bedrooms 1.5 baths. Original hardwood flooring and gorgeous bungalow details throughout. 1 bedroom 1 bath upper suite attached to the main house with its own separate entrance and tons of natural light. Downstairs separate studio Jr ADU is great for guests. Plenty of extra storage with exterior storage room and backyard shed. Gorgeous tree canopy with mature Japanese Maple; Dogwood; Camellias and more. Facing a private school with park like lawns and shade trees. Close to nearby coffee shops, restaurants and shopping. East Sac at its Best!",1.0,0.0,1.0,Attached,upstairs apartment,Yes,,,Yes,0.00,700,,Yes,74.0,,,,008-0351-004-000,5,Contact Listing Agent,Datashare MetroList,,,,01904268,01026478,16.01,,RESIDENTIAL,,5/2/2024,,02093850,,,,,"Multiple Offers Received 4/9/24. Seller Reviewing. No Showings at this time. Tenant occupied main house and upper unit (on 1 year lease through 7/31/24). Studio is vacant. Please review attached BUYER INSTRUCTIONS for offer information; disclosures; reports; tenant info and property info details. Buyer is advised to independently verify the accuracy of all information through personal inspections and professionals. Please contact the building and planning depts. for any questions regarding permits, ADU, etc.",Sacramento,Rodeo Way,12,13,13,Business 80; exit J St going east; right on Alhamb,,,,,,,,,,6067.0,0.0,,,,4/11/2024,,,No,,,,,,5/2/2024,Conventional,3/29/2024 5:00 PM,$334,00876670,3/30/2024,,,00876670,Full Service,Excl Right,Market Listing,None; access through,,,4.0,,,,Tenant,4/11/2024,,,,,,,224030920,,"$750,000",,4/11/2024,,,,32,,No,,,"$775,000",,$345.83,Cooke McGee,916-406-3354,,560642225.0,"AMAZING high water home with attached ADU in highly sought after East Sacramento. Well maintained main house with 3 bedrooms 1.5 baths. Original hardwood flooring and gorgeous bungalow details throughout. 1 bedroom 1 bath upper suite attached to the main house with its own separate entrance and tons of natural light. Downstairs separate studio Jr ADU is great for guests. Plenty of extra storage with exterior storage room and backyard shed. Gorgeous tree canopy with mature Japanese Maple; Dogwood; Camellias and more. Facing a private school with park like lawns and shade trees. Close to nearby coffee shops, restaurants and shopping. East Sac at its Best!",,,$345,,103.0,103.0,For Sale,,Appointment Only,,$345.83,Assessor Auto-Fill,,CA,5/2/2024,Two Story,,,No,,,0.0,https://www.asteroommls.com/pviewer?hideleadgen=1&token=dFDcCE_3A0qH7tbv0sF19w,,,5/3/2024,Yes,Yes,Yes,Yes,,,,,95819 4132,R-1
ME223076353,SLD,5,5616 M Street,,SACRAMENTO,9999,"$1,095,000","$1,095,000",DE,2010.0,4.0,2.0,1.0,,1.0,1940.0,0.162700,"7,087",,,"Unassuming from the curb, yet well appointed throughout, this home was completely remodelled in 2019 by IKON homes. High quality finishes and details throughout this open concept home blends modern amenities with the charm you expect in East Sac. Kitchen, bathrooms and laundry room feature custom cabinetry, carrara marble-look quartz counters and upgraded hardware. Living room is centered by a beautiful custom mantle and built-in cabinets and shelves surrounding the cozy gas fireplace. Hardwood floors, custom window treatments and light fixtures by Cedar & Moss throughout the home add to the pleasing and high quality aesthetic. Oversized primary suite with walk-in closet, soaking tub, oversized glass surround shower and Smith & Noble window treatments. Backyard retreat features a resort-style pool and spa built in 2022 by Premier Pools. Newer presidential roof, HVAC system and dual pane windows. Be prepared to fall in love with all East Sac offers.",,,0.0,,,,,,,0.00,0,,No,83.0,,,,008-0293-002-000,12,Contact Listing Agent,Datashare MetroList,,,,01986071,595361.0,16.01,,RESIDENTIAL,,9/14/2023,,,,,,,Contact Melissa Williams (916) 996-9503 to schedule showings. Inspections available 8/11 by 4:00PM. All offers should be sent to melissa@houserealestate.com . Seller may need rent back.,Sacramento,56th St,5,6,6,"Head east on M St, property is on the right.",,,,,,,,,,6067.0,1.0,,,,8/15/2023,,,No,,,,,,9/18/2023,Conventional,8/9/2023 5:00 PM,$544,02027768,8/10/2023,,,01834648,Full Service,Excl Right,Market Listing,,,,1.0,,,,Owner,8/15/2023,,,,,,,223076353,,"$1,095,000",,8/15/2023,,,,36,,Private,,,"$1,095,000",,$544.78,Melissa Williams,916-996-9503,,560550998.0,"Unassuming from the curb, yet well appointed throughout, this home was completely remodelled in 2019 by IKON homes. High quality finishes and details throughout this open concept home blends modern amenities with the charm you expect in East Sac. Kitchen, bathrooms and laundry room feature custom cabinetry, carrara marble-look quartz counters and upgraded hardware. Living room is centered by a beautiful custom mantle and built-in cabinets and shelves surrounding the cozy gas fireplace. Hardwood floors, custom window treatments and light fixtures by Cedar & Moss throughout the home add to the pleasing and high quality aesthetic. Oversized primary suite with walk-in closet, soaking tub, oversized glass surround shower and Smith & Noble window treatments. Backyard retreat features a resort-style pool and spa built in 2022 by Premier Pools. Newer presidential roof, HVAC system and dual pane windows. Be prepared to fall in love with all East Sac offers.",,,$544,,100.0,100.0,For Sale,,Call Showing Contact,,$544.78,Assessor Auto-Fill,,CA,9/14/2023,One Story,,,No,,,0.0,,,,9/18/2023,Yes,Yes,Yes,Yes,,,,,95819 4211,R-1
