MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,BT,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,Freq,3rd Party Synd. Remarks,ADU Baths Full,ADU Baths Partial,ADU Bedrooms,ADU Building Type,ADU Description,ADU Kitchen,ADU Main Entry Floor,ADU Meter,ADU Occupied,ADU Rents For,ADU Sq. Ft.,ADU SqFt Source,ADU Y/N,Age,Agent Has Ownership,Agent Hit Count,Agent Related to Principal,Assessors Parcel No,Associated Document Count,Available to Show,Board ID,Branded Media Link,Branded Media Link 2,Builder/Architect,Buyer Agent DRE Num.,Buyer Broker DRE Number,Census Tract,City Transfer Tax,Class,Client Hit Count,Closing Date,Co Buy Agent DRE Num.,Co List Agent DRE Num.,Co-List Agent email,Co-List Agent Fax,Complex Name,Concessions at COE,Confidential Remarks,County,Cross Street,Cumulative DOM,Cumulative DOMLS,Days On MLS,Directions to Property,Disclosures Link,Dist/Nbrhood/Sub,Elementary School Distric,Entry Agent First Name,Entry Agent ID,Entry Agent Last Name,Entry Agent License ID,Expire Date,Filtered Address,FIPS Code,Fireplaces,Floor Unit is on,Foreclosure Status,Gate Code,General Date,Geocode Quality,High School District,HOA,HOA Management Companies,HOA Name,HOA Name (Other),HOA Phone,Homesnap Appt. Scheduling,Hotsheet Date,How Sold,Input Date,List $/SqFt,List Agent DRE Num.,List Date,Listing Agt email,Listing Agt Fax,Listing Broker DRE Number,Listing Service,Listing Type,Listing Visibility Type,Lockbox Location,Model,New Subdivision,Number of offers,Occpnt Req 24 Hr Notice,Occupant Name,Occupant Phone,Occupied By,Off Market Date,Old Complex,Old Concessions,Old Elem,Old High,Old HOA Name,Old Middle,Old MLS #,Old Subdivision,Original Price,Ownership Type,Pending Date,Pending Litigation,Percent Owner Occ,Photo Permission,Picture Count,Point of Sale Ordinance,Pool,Preferred Agent Fax,Previous Price,Price,Price Date,Price Per SQFT,Primary Showing Contact,Primary Showing Phone,Printed Neighborhood Rpt,Property ID,Public Remarks,Radar ID,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Sales Office Info Remarks,Showing Instruction,Showing Schedule Link,Sold Price Per SQFT,Source,Special Information,State,Status Date,Stories,Subdivision (Other),Subdivision Profile Rmks,Supra Box?,Tax ID,TIC % Owner Offered,Total # of Garage and Parking Spaces,Unbranded Media Link,Unbranded Media Link 2,Units in Complex,Update Date,VOW Address,VOW AVM,VOW Comment,VOW Include,WiFi Last,ZIDX Only House #,ZIDX Only Street Dir,ZIDX Only Street Name,Zip,Zoning
ML81935160,SLD,2,1028 S Daniel Way,,SAN JOSE,9999,"$1,500,000","$1,675,000",DE,1950.0,3.0,2.0,1.0,Y,2.0,1960.0,0.195300,"8,507",,,,,,,,,,,,,,,,,63.0,,,,279-12-039,0,,Datashare MLSListings,,,,01215151,,,Yes,RESIDENTIAL,,8/10/2023,,,sunny.kim@compass.com,,,,"This is a trustee sale. Thank you to David Chung and his team, Sunny Kim & Brenda for a professional transaction. David and Sunny took care of their buyers, and Brenda kept us on track with the paperwork. The seller's side was a bit hectic due to trustees/heir dispersed around the state. David and his team worked with and helped with the irregularities and we got the job done. The Wells Fargo lender Satish Dadral, produced the loan without delay and we closed on time.",Santa Clara,Williams Rd.,2,3,3,,,,Campbell Unified School District,,,,,,1028 S Daniel WAY,6085.0,,,,,7/18/2023,,Campbell Unified School District,No,,,,,,8/11/2023,Conventional,7/15/2023 5:00 PM,$769,01338271,7/16/2023,randy@aptoshomefinder.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Vacant,7/18/2023,,,,,,,,,"$1,500,000",,7/18/2023,,,Public,28,,No,,,"$1,675,000",,$858.97,,,,81935160.0,"Located on a tree-lined street in the desirable neighborhood of Renee Woods, this home features fresh interior paint, hardwood floors, updated flooring, dual pane windows, dining, living and family rooms, wood burning fireplace, built in custom bookshelves, inside laundry nook, abundant storage and an attached two-car garage. The split-level layout creates great separation of the living room to the large family/entertainment room on the other side of the house. Upstairs are 3 bedrooms and 2 bathrooms, each one open and bright. The master or Primary bedroom has 2 closets and the attached bathroom. The large park-like fenced backyard offers endless possibilities for BBQing, gardening, entertaining, or simply relaxing on the large patio. Situated just minutes away from Santana Row, Westfield Valley Fair and downtown Campbell, dining, shopping, and entertainment options are vast and is a short walk to the dog friendly Hamann Park. Commuting is easy access to CA 17 and Hwy 280.",,,$858,,,,For Sale,,,,$858.97,,,CA,8/11/2023,Two Story,,,,,,,,,,8/12/2023,Yes,Yes,Yes,Yes,,,,,95128,R1-8
ML81918903,SLD,9,419 Pamlar Avenue,,SAN JOSE,9999,"$1,328,888","$1,350,000",DE,1553.0,2.0,1.0,1.0,Y,2.0,1947.0,0.2107,"9,180",,,,,,,,,,,,,,,,,76.0,,,,282-17-037,0,,Datashare MLSListings,https://my.matterport.com/show/?m=TNsHyqcwaVr,,,01908058,,,Yes,RESIDENTIAL,,4/10/2023,,,,,,,"Thank you for showing! The seller reserves the right to accept a pre-emptive offer. Buyers to verify all the information. Seller is motivated. If you write an offer, please use the CAR contract, including POF, pre approval, disclosure coversheet, and deposit your EMD in escrow within 1 day of acceptance. Disclosure link: https://app.disclosures.io/link/419-Pamlar-Avenue-vpzf51tk",Santa Clara,Spruance St,9,9,9,,,,Campbell Unified School District,,,,,,419 Pamlar AVE,6085.0,,,,,2/24/2023,,Campbell Unified School District,No,,,,,,4/11/2023,,2/15/2023 2:38 AM,$855,02122474,2/15/2023,fifi.li@redfin.com,,,,,Market Listing,,,,,,,,Vacant,2/24/2023,,,,,,,,,"$1,328,888",,2/24/2023,,,Private,25,,No,,,"$1,350,000",,$869.29,,,,81918903.0,"Charming home with amazing potential to add an ADU! Great opportunity to own an adorable home on a beautiful street. Gorgeous landscaping and a variety of fruit trees with tons of curb appeal. Fantastic location to various restaurants, cafes, retail shops, festivals, and nightlife in Campbell downtown. 3 minutes away from Ebay and Pruneyard. Quick drive to Highways 17, 280 and High Tech Firms. Don't miss it!",,,$869,,,,For Sale,,,,$869.29,,,CA,4/10/2023,One Story,,,,,,,https://my.matterport.com/show/?m=TNsHyqcwaVr&brand=0,,,5/6/2023,Yes,Yes,Yes,Yes,,,,,95128,R1-5
ML81921804,SLD,27,1098 S Genevieve Lane,,SAN JOSE,9999,"$2,298,000","$2,250,000",DE,2768.0,4.0,3.0,1.0,Y,2.0,1960.0,0.2063,"8,986",,,,,,,,,,,,,,,,,63.0,,,,279-11-015,0,,Datashare MLSListings,https://www.tourfactory.com/3062598,,,2020283.0,,,,RESIDENTIAL,,5/12/2023,,,,,,,"Must have a confirmed appointment before showing. Use instashowing link to make appointment: https://instashowing.com/showings/1098-s-genevieve-lane Offers are encouraged as soon as possible. Please email any offers to Listing Agent: David@dplrealestate.com. Please email all disclosures to both David@dplrealestate.com and Transaction Coordinator kayla@dplrealestate.com & vivian@dplrealestate.com Please lock all doors before leaving. All visitors are required to please 1) bring and use masks, sanitizer & sanitizer wipes and 2) clean any surfaces before and after touching with sanitizer wipes. Thanks! Disclosure link: https://www.dplrealestate.com/1098SouthGenevieveLane-YesorNo",Santa Clara,Clifton Avenue,27,27,27,,,,Campbell Unified School District,,,,,,1098 S Genevieve LN,6085.0,1.0,,,,4/12/2023,,Campbell Unified School District,No,,,,,,5/13/2023,Conventional,3/16/2023 11:34 AM,$830,1803836.0,3/16/2023,david@dplrealestate.com,,,,Excl Right,Market Listing,,,,,,,,Vacant,4/12/2023,,,,,,,,,"$1,998,000",,4/12/2023,,,Public,64,,No,,,"$2,250,000",,$812.86,Appointment Manager Kayla,408-761-0323,,81921804.0,"Move in & enjoy this gorgeous, spacious, single-story rancher in a super convenient location close to Santana Row & Valley Fair. Remodeled in 2007 with many recent updates. Beautiful open chef's kitchen with hardwood floors, 5-burner gas stove, granite countertops, stainless steel appliances & wood cabinets. Bright living room, family room, & dining spaces overlooking beautiful front garden area. Gleaming floors & recessed lighting. Double-pane windows with wood blinds. Beautifully updated bathrooms. 4 huge bedrooms. Owned solar panels. Dream-like primary suite has an attached retreat area for office, generous walk in closet & amazing ensuite bathroom with rainfall dual head shower, jetted tub & dual sinks. Inside laundry with extra storage. Awesome backyard with dining patio, turf lawn & gorgeous side yard for outdoor entertainment. Attached 2 car garage plus oversized driveway. Nestled down the street from a lovely park. Conveniently located near shops, restaurants & freeways. Wow.",,,$812,,,,For Sale,,Use instashowing link to make appointment: https://instashowing.com/showings/1098-s-genevieve-lane,,$812.86,,,CA,5/13/2023,One Story,,,,,,,https://www.tourfactory.com/idxr3062598,,,5/14/2023,Yes,Yes,Yes,Yes,,,,,95128,R1-8
ML81952835,SLD,7,400 Pamlar Avenue,,SAN JOSE,9999,"$1,499,000","$1,840,000",DE,1338.0,3.0,2.0,,,0.0,1952.0,0.19,"8,276",,,,,,,,,,,,,,,,,72.0,,,,282-20-004,0,,Datashare MLSListings,,,,70010248,,,,RESIDENTIAL,,3/6/2024,,,,,,,"Submit offer through Disclosure IO with pre-approval letter, proof of fund, signed disclosures and agent AVID. Buyer to be advised to verify permits, schools and the square footage and lot size for your satisfaction.",Santa Clara,Spruance St,7,7,7,,,,Campbell Unified School District,,,,,,400 Pamlar AVE,6085.0,1.0,,,,2/6/2024,,Campbell Unified School District,No,,,,,,3/6/2024,Conventional,1/30/2024 3:20 AM,"$1,120",2063234.0,1/30/2024,yuansellsbayarea@gmail.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Vacant,2/6/2024,,,,,,,,,"$1,499,000",,2/6/2024,,,Private,33,,No,,,"$1,840,000",,"$1,375.19",,,,81952835.0,"Stunning renovated home with city permit. This stunningly redesigned residence offers a 3-bedroom, 2-bath layout characterized by a contemporary open floor plan. The bright and airy living room, seamlessly connects to a modern kitchen. A spacious living room with a sleek fireplace and a formal dining. The open kitchen is a highlight, providing a modern and stylish backdrop for culinary endeavors. Major upgrades include dual pane windows, SPC flooring, high end quartz countertops and latest design kitchen cabinets. All bathrooms have custom European tile finishes. New AC, Heating & Ducting & tankless water heater. New SS Appliances, interior & exterior doors. Additional features include a two-car garage converted to a 2 bedrooms, 1 bathroom, living room, and kitchen to ADU. Size approximate 528 SQFT. Large open backyard space have lots of potential. Great starter home or investment property.",,,"$1,375",,,,For Sale,,"Call Listing Agent,Go Directly,Leave Card,Lockbox - Supra iBox Bluetooth LE",,"$1,375.19",,,CA,3/6/2024,One Story,,,,,,,,,,3/7/2024,Yes,Yes,Yes,Yes,,,,,95128,R18
ML81954705,SLD,6,1214 Greenbriar Avenue,,SAN JOSE,9999,"$1,650,000","$1,999,999",DE,1516.0,3.0,2.0,,Y,2.0,1962.0,0.190000,"8,276",,,,,,,,,,,,,,,,,62.0,,,,279-19-036,0,,Datashare MLSListings,,,,01949191,,,Yes,RESIDENTIAL,,3/15/2024,,,,,,,"Go direct. Please be considerate of other agents & their clients. Offer date Tuesday, 2/27 by 3pm. With offer include: POF, pre-approval, signed disclosure cover sheet, 1 day EMD. No Buyer letters please. Upload offer to disclosures.io. Call Jalayne with any questions. Thank you for showing!",Santa Clara,Fireside,6,7,7,,,,Campbell Unified School District,,,,,,1214 Greenbriar AVE,6085.0,2.0,,,,2/27/2024,,Campbell Unified School District,No,,,,,,3/15/2024,Conventional,2/20/2024 4:00 PM,"$1,088",1820835.0,2/21/2024,jalayne.forrester@gmail.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Call Agent,2/27/2024,,,,,,,,,"$1,650,000",,2/27/2024,,,Public,41,No,No,,,"$1,999,999",,"$1,319.26",,,,81954705.0,"Lovely home located in the desirable Hamann Park neighborhood located on a peaceful cul de sac, features 3 bedrooms, 2 bathrooms, a separate office or guest room that can be converted into a 4th bedroom, spacious living area that flows into the sunroom addition drenched in natural light, oak hardwood floors throughout, and four gorgeous outdoor living spaces - an entertainers dream. The mature landscaping is stunning & low maintenance. Owned solar panels with Tesla charger. Centrally located to everything; shopping & restaurants at Santana Row, Valley Fair, Pruneyard & Downtown Campbell, neighborhood schools, freeways and much more.",,,"$1,319",,,,For Sale,,"Go Directly,Lockbox - Supra iBox Bluetooth LE",,"$1,319.26",,,CA,3/15/2024,One Story,,,,,,,,,,3/16/2024,Yes,Yes,Yes,Yes,,,,,95128,R1-8
ML81912446,SLD,39,1278 N Central Avenue,,SAN JOSE,9999,"$2,798,000","$2,620,000",DE,3226.0,5.0,3.0,,Y,2.0,1964.0,0.1969,"8,579",,,,,,,,,,,,,,,,,58.0,,,,279-13-011,0,,Datashare MLSListings,https://tours.tourfactory.com/tours/tour.asp?t=3064450,,,1371125.0,,,,RESIDENTIAL,,6/5/2023,,,laure.serafini@compass.com,,,,Family occupied. Do not go direct and do not disturb occupants. Contact agent (David Guercio 408-529-4069) to make appointment and to receive entry code. 24-hour notice requested.,Santa Clara,Westfield Avenue,39,40,40,"From Winchester Blvd, go east on Payne, then north",,,Campbell Unified School District,,,,,,1278 N Central AVE,6085.0,2.0,,,,5/5/2023,,Campbell Unified School District,No,,,,,,6/7/2023,Conventional,3/26/2023 5:00 PM,$867,1940691.0,3/27/2023,david@davidguercio.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Owner,5/5/2023,,,,,,,,,"$2,798,000",,5/5/2023,,,Public,41,,No,,,"$2,620,000",,$812.15,David Guercio,408-529-4069,,81912446.0,"ZERO OR LOW ELECTRIC BILLS WITH OWNED SOLAR. WORK FROM HOME BUT BE OUT OF THE HOUSE WITH SEPARATE OFFICE/ STUDIO IN REAR YARD. Remodeled 5 bedroom family home w/ 1 bed & full bath on ground floor. Double-door entry opens to marble foyer & wide staircase. Remodeled kitchen with large island, Thermador appliances, oversized fridge/freezer, wine fridge, 6 burner gas stove, pantry & more. Primary bedroom suite w/ soaking tub & shower. Drought certified hummingbird flowering shrubs & vines in yard. Detached 2 car garage w/ storage & attic. EV charging. With solar, seller has generated enough electricity sold back on the grid to allow for credits against natural gas usage through PG&E. Long driveway w/ electric gate secures fenced yard for children & pets to play. Great family neighborhood close to park, schools, downtown Campbell, Santana Row, freeways, and more. SCHOOLS ARE CAMPBELL UNION SCHOOL DISTRICT WITH CHOICES: ASSIGNED, CHOICE PATHWAY OR MAGNET SCHOOL. Shown by appointment only.",,,$812,,,,For Sale,,Must Call Listing Agent to receive entrance code. 24-Hour Notice Required. Appointment Only. Do Not Disturb Occupants. Do Not Go Direct.,,$812.15,,,CA,6/6/2023,Two Story,,,,,,,https://tours.tourfactory.com/tours/tour.asp?idx=1&t=3064450,,,6/7/2023,Yes,Yes,Yes,Yes,,,,,95128,R1-8
ML81925323,SLD,5,550 Pamlar Avenue,,SAN JOSE,9999,"$1,399,000","$1,570,000",DE,1344.0,3.0,1.0,,Y,1.0,1949.0,0.208,"9,059",,,,,,,,ADU,,,,,,,,Yes,74.0,,,,282-22-006,0,,Datashare MLSListings,https://www.jimgallirealestate.com/550pamlarav.html#ZZVirtualTour,,,02144831,,,Yes,RESIDENTIAL,,5/18/2023,,,,,,,"Both the front house & the ADU are occupied so please ONLY go direct Friday 4/21/23 after 3pm through Sunday 4/23/23 before 4pm. Any other times by appointment. Offers (if any) Due Tuesday 4/25 by 2pm. Please include proof of funds, pre-approval letter (if obtaining loan), fully signed disclosure package, & buyer agent's AVID. Sellers would love a rent back (main house). Tenants in ADU have already been given notice to vacate (estoppel in disclosures). Email offers to galliteam@sereno.com and make sure we confirm receipt. Sellers have plans for expanding the main home including adding a 2nd bathroom (plans are included in the disclosure package). Would love to work with you on this incredible home! Contact Jim & Katie with any questions! Katie's cell: 408-203-6903.",Santa Clara,Spruance Street,5,5,5,,,,Campbell Unified School District,,,,,,550 Pamlar AVE,6085.0,2.0,,,,4/25/2023,,Campbell Unified School District,No,,,,,,5/18/2023,Conventional,4/20/2023 1:04 AM,"$1,040",00944554,4/20/2023,jim.galli@sereno.com,,,Full Service,,Market Listing,,,,,,,,Owner,4/25/2023,,,,,,,,,"$1,399,000",,4/25/2023,,,Public,41,,No,,,"$1,570,000",,"$1,168.15",Katie Galli Ketelsen,408-203-6903,,81925323.0,"Prepare to fall in love!!!!! Stunningly renovated home along with an impressive ADU in a lovely neighborhood. Backyard is spectacular with its outdoor kitchen which has a gas grill, stove top burner, refrigerator, sink, & large island. There is a built in fire pit, and numerous covered areas allowing for the ultimate indoor/outdoor entertaining. ADU has its own kitchen, bathroom, stackable washer/dryer. Owners have plans for expanding the main house which include adding a bathroom and expanding bedroom. Currently, main house has 1 full bathroom and ADU has 1 full bathroom. Phenomenal location in close proximity to the vibrant Pruneyard! Easy access to Downtown Campbell, Downtown Willow Glen, and Santana Row! Bright, feel-good! Absolute best in its price class!",,,"$1,168",,,,For Sale,,,,"$1,168.15",,,CA,5/18/2023,One Story,,,,,,,,,,5/19/2023,Yes,Yes,Yes,Yes,,,,,95128,R18
ML81946795,SLD,17,2520 Pfeffer Lane,,SAN JOSE,9999,"$1,199,000","$1,275,000",DE,962.0,2.0,1.0,,Y,2.0,1949.0,0.21,"9,148",,,,,,,,,,,,,,,,,74.0,,,,282-02-027,0,,Datashare MLSListings,https://2520-pfeffer-ln.365virtualtour.com/,,,01732028,,,Yes,RESIDENTIAL,,12/21/2023,,,,,,,Supra box & lock box located on the left side of house front door near water pipes. Go Direct. Home is vacant. Disclosures link is https://app.disclosures.io/link/2520-Pfeffer-Lane-gvnq7w7b. Offer due date set for Monday 11/20/23 by 1PM. Dear agents please provide proof of funds & pre approval letter when submitting offer. Thank you.,Santa Clara,Macarthur ave,17,18,18,,,,Campbell Unified School District,,,,,,2520 Pfeffer LN,6085.0,1.0,,,,11/27/2023,,Campbell Unified School District,No,,,,,,12/21/2023,Conventional,11/9/2023 4:00 PM,"$1,246",02111169,11/10/2023,csoto@intero.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Vacant,11/27/2023,,,,,,,,,"$1,199,000",,11/27/2023,,,Public,22,No,No,,,"$1,275,000",,"$1,325.36",,,,81946795.0,"Cozy starter home with a very LARGE back yard. The possibilities with this gem are endless! Add an entire small home addition in the backyard to host family, guest or generate rental income. Original kitchen kept in good condition. Home can be remodeled to end-users liking. Original wood floor. Modern tiled shower stall. Original door frames. Great opportunity for buyers to customize to their personal preference. Easy access to major highway 280. 5 minute drive from Valley Fair shopping Center and Santana Row. Walking distance to General Hospital and VTA public transportation. House has a room addition not listed with County recorder's office or title report. Buyers to verify square footage. The following is disclosures link for home inspection report conducted on the property https://app.disclosures.io/link/2520-Pfeffer-Lane-gvnq7w7b.. Sellers are open to pre emptive offers. Offer due date set for Monday 11/20/23 by 1PM.",,,"$1,325",,,,For Sale,,,,"$1,325.36",,,CA,12/21/2023,One Story,,,,,,,,,,12/22/2023,Yes,Yes,Yes,Yes,,,,,95128,R1
ML81944505,SLD,13,1008 S Monroe Street,,SAN JOSE,9999,"$1,936,000","$1,950,000",DE,1884.0,4.0,3.0,,Y,2.0,1954.0,0.1897,"8,262",,,,,,,,ADU Unit,,,,,,,,Yes,69.0,,,,279-11-011,0,,Datashare MLSListings,,,,01803836,,,,RESIDENTIAL,,12/26/2023,,,,,,,"Main home is owner occupied and ADU is tenant occupied. Showing by appointment with 24 hour notice please. ADU pictures are from seller when he advertised it for rent. Call agent at 650-400-4731 to schedule a showing appointment. Per SOLD listing closed 7/19/2013, home is 2000SF including enclosed breezeway (w/o permits) per previous seller. TV and TV stand come with the house ( PER SELLER TV comes with monster play power and CD player) For disclosures go to https://app.disclosures.io/link/1008-South-Monroe-Street-y5672wvq Offers will be presented as they come in",Santa Clara,Williams Rd,13,13,13,,,,Campbell Unified School District,,,,,,1008 S Monroe ST,6085.0,1.0,,,,10/22/2023,,Campbell Unified School District,No,,,,,,12/28/2023,Conventional,10/9/2023 7:55 AM,"$1,027",01258377,10/9/2023,raquel_nikravesh@yahoo.com,,,Full Service,Excl Right,Market Listing,,,,,,,,Owner,10/22/2023,,,,,,,,,"$1,936,000",,10/22/2023,,,Public,45,,No,,,"$1,950,000",,"$1,035.03",650-400-4731,650-400-4731,,81944505.0,"Welcome to this beautiful open floor plan home with In-Laws Quarters! The main house has 3 bedrooms 2 bathrooms and the ADU 1 bedroom 1 bathroom. Main house amenities are: Kitchen with custom cabinets, granite counters and Bay window. Breakfast nook plus huge living room and dining area with crown moldings. Cozy fireplace in living room. Tile floors in kitchen and breakfast nook, hardwood floors in living/dining room, hallway and bedrooms, the large windows and skylights give this beautiful home lots of natural light. All double pane windows, master bedroom w/walk-in closet, high quality bathrooms with granite, cherry wood and tile! The front yard is adorned with beautiful flowers and paradise like back yard with fruit trees and flowers! Inside laundry area plus all copper plumbing. The ADU Unit comes with 1 bedroom 1 bathroom, kitchen/living room, office room, private backyard with pergola and laundry in the garage. Great neighborhood within the Campbell school district!",,,"$1,035",,,,For Sale,,,,"$1,035.03",,,CA,12/26/2023,One Story,,,,,,,,,,12/29/2023,Yes,Yes,Yes,Yes,,,,,95128,R1-8
ML81959048,SLD,8,870 S Monroe Street,,SAN JOSE,9999,"$1,980,000","$2,755,000",DE,2011.0,4.0,2.0,1.0,Y,2.0,1953.0,0.19,"8,276",,,,,,,,,,,,,,,,,71.0,,,,279-05-013,0,,Datashare MLSListings,,,,02165688,,,,RESIDENTIAL,,5/3/2024,,,ongoing@gmail.com,,,,"Pre-escrow opened with Old Republic Title San Jose office. Offer date Wednesday 04/03 at 1:00 pm. Offers, if any, to be submitted through Disclosures IO. Please submit your offer with pre approval letter, POF and buyer agent's AVID. Prefer EMD in escrow within 1 day of the acceptance. Disclosure link: https://app.disclosures.io/link/870-South-Monroe-Street-xe2mtt7e Back yard furniture is for staging. The flower in wine barrel pot has emotional meaning for seller, which is not included in the sale. Contact Shawn 408-329-3793 for any questions. Thank you for showing!",Santa Clara,Neal Ave and Mon,8,8,8,,,,Campbell Unified School District,,,,,,870 S Monroe ST,6085.0,1.0,,,,4/3/2024,,Campbell Unified School District,No,,,,,,5/3/2024,Conventional,3/26/2024 12:22 PM,$984,01853029,3/26/2024,aezrealty@gmail.com,,,,Excl Right,Market Listing,,,,,,,,Vacant,4/3/2024,,,,,,,,,"$1,980,000",,4/3/2024,,,Public,49,,No,,,"$2,755,000",,"$1,369.97",,,,81959048.0,"Gorgeous single family home with open and bright layout in the heart of West San Jose. Fully renovated in 2022 with permits, the house is updated from the stub with all new plumbing, insulation, AC ductwork, electric rewire, 200amps electric panel and new sheetrock for lever-5 flat walls. State of the art living room features two recessed ceilings, high quality engineered hardwood floor, electric fireplace and formal dining area. Prepare to be captivated by the huge kitchen island with porcelain slab countertops and waterfall, breakfast nook, custom cabinetry and top of line stainless steel appliances. Equipped with a chef's dream array, the kitchen includes 6-burner range top, steam oven, handy pot filler, and an instant hot water dispenser, ensuring both luxury and practicality. Spacious master suite boasting a luxurious en-suite bathroom: double sinks, big shower with tub and a walk-in closet with ample storage. Step outside to discover a meticulously landscaped oasis, complete with artificial grass, mature fruit trees, charming gazebo, mini-golf, water feature and two practical storage sheds. Nestled steps away from lively Santana Row and Valley Fair, and with effortless access to highways 280/880 and prestigious private schools, this house epitomizes convenience and luxury.",,,"$1,369",,,,For Sale,,"Go Directly,Lockbox - Supra iBox Bluetooth LE",,"$1,369.97",,,CA,5/3/2024,One Story,,,,,,,https://media.showingtimeplus.com/sites/yvwqbvn/unbranded,,,5/5/2024,Yes,Yes,Yes,Yes,,,,,95128,R1-8
