MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,BT,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,Freq,3rd Party Synd. Remarks,ADU Baths Full,ADU Baths Partial,ADU Bedrooms,ADU Building Type,ADU Description,ADU Kitchen,ADU Main Entry Floor,ADU Meter,ADU Occupied,ADU Rents For,ADU Sq. Ft.,ADU SqFt Source,ADU Y/N,Age,Agent Has Ownership,Agent Hit Count,Agent Related to Principal,Assessors Parcel No,Associated Document Count,Available to Show,Board ID,Branded Media Link,Branded Media Link 2,Builder/Architect,Buyer Agent DRE Num.,Buyer Broker DRE Number,Census Tract,City Transfer Tax,Class,Client Hit Count,Closing Date,Co Buy Agent DRE Num.,Co List Agent DRE Num.,Co-List Agent email,Co-List Agent Fax,Complex Name,Concessions at COE,Confidential Remarks,County,Cross Street,Cumulative DOM,Cumulative DOMLS,Days On MLS,Directions to Property,Disclosures Link,Dist/Nbrhood/Sub,Elementary School Distric,Entry Agent First Name,Entry Agent ID,Entry Agent Last Name,Entry Agent License ID,Expire Date,Filtered Address,FIPS Code,Fireplaces,Floor Unit is on,Foreclosure Status,Gate Code,General Date,Geocode Quality,High School District,HOA,HOA Management Companies,HOA Name,HOA Name (Other),HOA Phone,Homesnap Appt. Scheduling,Hotsheet Date,How Sold,Input Date,List $/SqFt,List Agent DRE Num.,List Date,Listing Agt email,Listing Agt Fax,Listing Broker DRE Number,Listing Service,Listing Type,Listing Visibility Type,Lockbox Location,Model,New Subdivision,Number of offers,Occpnt Req 24 Hr Notice,Occupant Name,Occupant Phone,Occupied By,Off Market Date,Old Complex,Old Concessions,Old Elem,Old High,Old HOA Name,Old Middle,Old MLS #,Old Subdivision,Original Price,Ownership Type,Pending Date,Pending Litigation,Percent Owner Occ,Photo Permission,Picture Count,Point of Sale Ordinance,Pool,Preferred Agent Fax,Previous Price,Price,Price Date,Price Per SQFT,Primary Showing Contact,Primary Showing Phone,Printed Neighborhood Rpt,Property ID,Public Remarks,Radar ID,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Sales Office Info Remarks,Showing Instruction,Showing Schedule Link,Sold Price Per SQFT,Source,Special Information,State,Status Date,Stories,Subdivision (Other),Subdivision Profile Rmks,Supra Box?,Tax ID,TIC % Owner Offered,Total # of Garage and Parking Spaces,Unbranded Media Link,Unbranded Media Link 2,Units in Complex,Update Date,VOW Address,VOW AVM,VOW Comment,VOW Include,WiFi Last,ZIDX Only House #,ZIDX Only Street Dir,ZIDX Only Street Name,Zip,Zoning
41053039,SLD,6,1200 Fairlawn Ct,4,WALNUTCREK,9999,"$438,888","$430,000",CO,1054.0,2.0,1.0,0.0,N,0.0,1964.0,0.000000,0,"1,261",M,"Tom Nevin - Agt: 925-699-0031 - Beautifully remodeled Sonoma model with quartz counters, stainless steel Whirlpool and Samsung appliances, newer cabinetry, luxury vinyl plank flooring throughout, and tasteful modern lighting, all located in a quiet entry equidistant between the Creekside restaurant and the Gateway Clubhouse.  Enjoy the sunrise with a view from the northeast-facing deck that includes deciduous and coniferous trees against the backdrop of the hills of the Mt. Diablo range. The bath has been upgraded with a solid surface vanity, newer cabinetry, and a stacked washer and dryer.  The carport is nearby and there is ample guest parking in the cul-de-sac.  The luxury vinyl plank flooring extends into the outdoor entryway. You will love this light and bright Rossmoor home.  Enjoy all the fantastic amenities of the SF Bay Area's premier age 55+ resort with professional-grade arts & crafts studios, 200+ clubs, lectures, films, swimming pools, and an amazing fitness center located within a secure gated and 24/7 staffed active community for people over age 55!",,,,,,,,,,,,,No,60.0,No,,No,900-001-526-4,0,,CONTRA COSTA,https://my.matterport.com/show/?m=2V6jit8hiqY,,,01901455,01499008,,No,RESIDENTIAL,,4/12/2024,,,,,ROSSMOOR,,"Tap the key fob on the door lock for the green light.  It may take five to ten seconds to recognize the fob, you may need to move it around a bit but it works.  Rossmoor is an age 55+ resort with rental, smoking, pet, and other restrictions. CoOp purchases must be all cash, the income requirement for this CoOp is approximately $72,000/year for most buyers and can be satisfied with the buyer's income or a guarantor's income. Carport 190-2.  The tub has been modified for easier access.",Contra Costa,Tice Creek Drive,6,6,6,Fairlawn Ct. Entry 5,,ROSSMOOR,Walnut Creek (925) 944-6850,,,,,,,6013.0,0.0,1,,,3/22/2024,,Acalanes (925) 280-3900,Yes,,1ST WALNUT CREEK MUT,,925-988-7700,,4/15/2024,Cash,3/16/2024 8:37 AM,$416,01970487,3/16/2024,,,01491373,Full Service,Excl Right,Market Listing,Front Door,Remodeled Sonoma,,1.0,No,,,Vacant,3/22/2024,,0.00,,,,,41053039,,"$438,888",CoOp,3/22/2024,No,98.0,,39,No,Community,,"$438,888","$430,000",4/15/2024,$407.97,Tom Nevin,925-699-0031,Yes,,"Beautifully remodeled Sonoma model with quartz counters, stainless steel Whirlpool and Samsung appliances, newer cabinetry, luxury vinyl plank flooring throughout, and tasteful modern lighting, all located in a quiet entry equidistant between the Creekside restaurant and the Gateway Clubhouse.  Enjoy the sunrise with a view from the northeast-facing deck that includes deciduous and coniferous trees against the backdrop of the hills of the Mt. Diablo range. The bath has been upgraded with a solid surface vanity, newer cabinetry, and a stacked washer and dryer.  The carport is nearby and there is ample guest parking in the cul-de-sac.  The luxury vinyl plank flooring extends into the outdoor entryway. You will love this light and bright Rossmoor home.  Enjoy all the fantastic amenities of the SF Bay Area's premier age 55+ resort with professional-grade arts & crafts studios, 200+ clubs, lectures, films, swimming pools, and an amazing fitness center located within a secure gated and 24/7 staffed active community for people over age 55! ",,6.0,$408,LA & BA different company/franchise,98.0,98.0,For Sale,,Go Show!,,$407.97,Public Records,,CA,4/15/2024,One Story,,,No,900-001-526-4,,1.0,https://my.matterport.com/show/?m=2V6jit8hiqY&brand=0,,8.0,4/16/2024,Yes,No,Yes,Yes,,1200.0,,Fairlawn Ct,94595,
41030716,SLD,25,1301 Running Springs,3,WALNUTCREK,9999,"$439,900","$440,000",CO,1095.0,2.0,1.0,0.0,N,1.0,1964.0,0.0,0,"1,054",M,"Katie Haynes - You will be captivated with the light, bright and welcoming ambiance of this updated home with breathtaking views! The kitchen has been upgraded with quartz counters, stainless dishwasher and a single basin sink and has a unique sky light. The great room area, which features expansive built ins opens up to the covered patio. Both bedrooms are very spacious and you will find plenty of storage in this home.  The bathroom features a stackable washer and dryer and has an updated vanity.  Easy and convenient parking is directly across from this home in carport with built in storage.  New windows, upgraded carpet and newer paint really show well here!  Arrange your tour today, you will not be disappointed!",,,,,,,,,,,,,,59.0,,,,900-002-241-9,0,,DELTA,https://vimeo.com/837076327/00f66bdf93,,,01869982,01499008,,No,RESIDENTIAL,,8/14/2023,,,,,ROSSMOOR,,"Pre-escrow open w/ Old Republic Title - not required but open for convenience. Buyer to pay a one-time Golden Rain Foundation Membership Fee of $12,500. There are coop approved lenders and cash requirements for cash buyers, inquire for more details.  There may be rental and smoking ordinances, buyer to verify. Buyer and Buyer's Agent to participate in an MOD Alteration Meeting via Zoom prior to closing. Carport #3 with storage.  Offers reviewed as received. MOD inspection to be 6/22/23, other disclosures to be found in disclosures.io.",Contra Costa,Tice Creek,25,25,25,Tice Creek to Running Springs,,ROSSMOOR,,,,,,,,6013.0,0.0,2,,,7/14/2023,,,Yes,,2ND WALNUT CREEK MUT.,,9259887700,,8/22/2023,Cash,6/19/2023 8:11 AM,$402,2006976,6/19/2023,,,1878277.0,Full Service,Excl Right,Market Listing,on stair rail,Monterrey,No,1.0,No,,,Vacant,7/14/2023,,,,,,,41030716,,"$460,000",CoOp,7/14/2023,No,99.0,,55,No,Community,,"$460,000","$440,000",8/22/2023,$401.83,,,Yes,,"You will be captivated with the light, bright and welcoming ambiance of this updated home with breathtaking views! The kitchen has been upgraded with quartz counters, stainless dishwasher and a single basin sink and has a unique sky light. The great room area, which features expansive built ins opens up to the covered patio. Both bedrooms are very spacious and you will find plenty of storage in this home.  The bathroom features a stackable washer and dryer and has an updated vanity.  Easy and convenient parking is directly across from this home in carport with built in storage.  New windows, upgraded carpet and newer paint really show well here!  Arrange your tour today, you will not be disappointed!",,6.0,$402,,100.0,96.0,For Sale,,,,$401.83,Public Records,,CA,8/22/2023,One Story,,,Yes,,,,https://vimeo.com/837076331/1be350b956,,4.0,8/23/2023,Yes,Yes,Yes,Yes,,1301.0,,Running Springs,94595,
41021439,SLD,149,1132 Running Springs Rd,8,WALNUTCREK,9999,"$595,000","$587,500",CO,1054.0,2.0,2.0,0.0,N,0.0,1964.0,0.0,0,"1,054",M,"Kathie DiMaggio Stein - Agt: 925-699-6258 - Welcome to your fully remodeled Rossmoor dream home! This stunning 2-bedroom, 2-bathroom residence boasts a den/office space, and has been meticulously updated with the finest finishes to create the perfect oasis for a discerning resident.The kitchen features sleek stainless steel Samsung appliances, luxurious quartz countertops, and elegant white shaker-style cabinets with soft-closing drawers and under-counter lighting. The living areas have been upgraded with premium luxury vinyl planking flooring and plush new carpeting in the bedrooms. Both bathrooms feature exquisite custom tile work, and the entire home is illuminated with energy-efficient LED recessed lighting.Enjoy the peace and quiet of your new home thanks to the absence of bulky A/C units under the windows. All new dual-paned windows and doors provide excellent insulation, making this home as energy-efficient as it is beautiful.Relax and unwind on the lovely patio, perfect for enjoying California's beautiful weather. And with access to all the amenities of the award-winning 55+ community of Rossmoor, you'll be living the good life in no time! Don't miss your chance to make this stunning property your own.",,,,,,,,,,,,,,59.0,,,,900-002-062-9,0,,CONTRA COSTA,https://www.tourfactory.com/3062816,,,2012656,02012656,,No,RESIDENTIAL,,8/14/2023,,820932.0,,,ROSSMOOR,,"This unit is in Rossmoor, 55+ community. It is a cooperative, must use approved cooperative lender. Buyers must financially qualify to purchase. Monthly dues, $1,054 per month in Mutual 2. Property taxes will be impounded monthly. Buyer to pay $12,500 GRF membership fee. Buyer to attend Mutual alteration meeting prior to close. Please call listing agents for any questions. Carport building #212, space #5. Note the extra square footage and current owner are not reflected on the MLS Tax Suite report. Unit is no longer staged.",Contra Costa,Tice Creek,149,149,149,Entry 1,,ROSSMOOR,Walnut Creek (925) 944-6850,,,,,,,6013.0,0.0,1,,,8/9/2023,,Walnut Creek (925) 944-6850,Yes,,2ND WALNUT CREEK MUT.,,925-988-7700,,8/14/2023,Conventional,3/13/2023 6:43 PM,$565,1942595,3/13/2023,,,01279936,Full Service,Excl Right,Market Listing,front Door,Sonoma,,1.0,No,,,Vacant,8/9/2023,,no,,,,,41021439,,"$638,000",CoOp,8/9/2023,No,99.0,,59,No,Community,,"$608,000","$587,500",8/14/2023,$557.40,,,Yes,,"Welcome to your fully remodeled Rossmoor dream home! This stunning 2-bedroom, 2-bathroom residence boasts a den/office space, and has been meticulously updated with the finest finishes to create the perfect oasis for a discerning resident. The kitchen features sleek stainless steel Samsung appliances, luxurious quartz countertops, and elegant white shaker-style cabinets with soft-closing drawers and under-counter lighting. The living areas have been upgraded with premium luxury vinyl planking flooring and plush new carpeting in the bedrooms. Both bathrooms feature exquisite custom tile work, and the entire home is illuminated with energy-efficient LED recessed lighting. Enjoy the peace and quiet of your new home thanks to the absence of bulky A/C units under the windows. All new dual-paned windows and doors provide excellent insulation, making this home as energy-efficient as it is beautiful. Relax and unwind on the lovely patio, perfect for enjoying California's beautiful weather. And with access to all the amenities of the award-winning 55+ community of Rossmoor, you'll be living the good life in no time! Don't miss your chance to make this stunning property your own. ",,6.0,$557,LA & BA different company/franchise,99.0,92.0,For Sale,,,,$557.40,Public Records,,CA,8/14/2023,One Story,,,Yes,900-002-062-9,,1.0,https://www.tourfactory.com/idxr3062816,,12.0,8/15/2023,Yes,No,No,Yes,,1132.0,,Running Springs Rd,94595,
41017115,SLD,5,1332 Singingwood Ct,6,WALNUTCREK,9999,"$398,000","$395,000",CO,1054.0,2.0,1.0,0.0,N,0.0,1966.0,0.000000,0,"1,054",M,"Kathie DiMaggio Stein - Agt: 925-699-6258 - What a great deal! Updated Sonoma model in a nice, quiet location. Hard surface flooring throughout, fresh paint, dual pane windows, crown molding, smooth ceilings, paneled doors and a large outdoor patio to enjoy CA weather. Kitchen features granite counter tops, stainless steel appliances with plenty of storage. Bathroom has a stall shower with a stack washer and dryer. Convenient guest parking close by. Your HOA fees cover your cable, internet, water, trash and use of many of the Rossmoor amenities. This home is ready to welcome you to the Rossmoor neighborhood.",,,,,,,,,,,,,,57.0,,,,900-010-200,0,,CONTRA COSTA,https://www.tourfactory.com/3038537,,,01970487,01491373,,No,RESIDENTIAL,,2/17/2023,,820932.0,,,ROSSMOOR,,"Per escrow with Lennar title 154718-001098, officer Angel Avery, 925- 658-9066. Unit located in 55+ community of Rossmoor. This is a Cooperative with monthly dues of $1,054. per month.  Property taxes will be impounded monthly. Buyer to pay $12,500 GRF membership fee.     Please call listing agents for Cooperative financial requirements and Cooperative lenders. ",Contra Costa,Rossmoor Pkwy,5,5,5,Entry 7,,ROSSMOOR,Walnut Creek (925) 944-6850,,,,,,,6013.0,0.0,2,,,1/21/2023,,Walnut Creek (925) 944-6850,Yes,,2ND WALNUT CREEK MUT.,,925-988-7700,,2/17/2023,Conventional,1/16/2023 9:40 AM,$378,1942595,1/16/2023,,,1279936.0,Full Service,Excl Right,Market Listing,Front Door,Sonoma,,1.0,No,,,Vacant,1/21/2023,,,,,,,41017115,,"$398,000",CoOp,1/21/2023,No,99.0,,54,No,Community,,"$398,000","$395,000",2/17/2023,$374.76,,,Yes,,"What a great deal! Updated Sonoma model in a nice, quiet location. Hard surface flooring throughout, fresh paint, dual pane windows, crown molding, smooth ceilings, paneled doors and a large outdoor patio to enjoy CA weather. Kitchen features granite counter tops, stainless steel appliances with plenty of storage. Bathroom has a stall shower with a stack washer and dryer. Convenient guest parking close by. Your HOA fees cover your cable, internet, water, trash and use of many of the Rossmoor amenities. This home is ready to welcome you to the Rossmoor neighborhood.",,5.0,$375,LA & BA different company/franchise,99.0,99.0,For Sale,,"Go, Show & Sell!",,$374.76,Public Records,,CA,2/17/2023,One Story,,,Yes,900-010-200,,,https://www.tourfactory.com/idxr3038537,,12.0,2/18/2023,Yes,No,No,Yes,,1332.0,,Singingwood Ct,94595,
41020781,SLD,6,1404 Stanley Dollar Dr,2A,WALNUTCREK,9999,"$575,000","$605,000",CO,1157.0,2.0,2.0,0.0,Y,1.0,1983.0,0.000000,0,"1,141",M,"Robert Parrish - Agt: 925-360-5889 - Sparkling Klamath Condominium with breathtaking pond and hillside views. A rare property with all level access, two bedrooms and two full bathrooms, spacious primary and guest bedrooms, living room with views and access to wonderful patio. Gas heat, carport has been converted into extra large garage, a truly unique home. One of A Kind!",,,,,,,,,,,,,,40.0,,,,190-261-110-0,0,,CONTRA COSTA,https://www.tourfactory.com/3060542,,,01872532,1279936.0,,No,RESIDENTIAL,,4/3/2023,,,,,ROSSMOOR,,"Property approved for reverse mortgage. Pre- Escrow with Angel Avery, Lennar title. Very unique Klamath Condo with extra large garage! This is located in a 55+ gated community. Buyer to pay GRF membership fee of $12,500. Open house Sunday 3/5 1-4. Brokers open 3/7 10-12. Offers to be submitted 3/10 10:00 am. No preemptive offers.",Contra Costa,Tice Creek,6,6,6,Tice Creek to Stanley Dollar E-5,,ROSSMOOR,Walnut Creek (925) 944-6850,,,,,,,6013.0,0.0,1,,,3/10/2023,,Walnut Creek (925) 944-6850,Yes,,3RD WALNUT CREEK MUT,,925-988-7700,,4/4/2023,Conventional,3/4/2023 12:08 PM,$497,1349900,3/4/2023,,,01279936,Full Service,Excl Right,Market Listing,Front Door,Klamath,,1.0,No,,,Vacant,3/10/2023,,none,,,,,41020781,,"$575,000",,3/10/2023,No,99.0,,53,No,Community,,"$575,000","$605,000",4/4/2023,$522.90,,,Yes,,"Sparkling Klamath Condominium with breathtaking pond and hillside views. A rare property with all level access, two bedrooms and two full bathrooms, spacious primary and guest bedrooms, living room with views and access to wonderful patio. Gas heat, carport has been converted into extra large garage, a truly unique home. One of A Kind!",,4.0,$523,Other,105.0,105.0,For Sale,,,,$522.90,Public Records,,CA,4/4/2023,One Story,,,Yes,190-261-110-0,,,https://www.tourfactory.com/idxr3060542,,6.0,4/5/2023,Yes,No,No,Yes,,1404.0,,Stanley Dollar Dr,94595,
41018000,SLD,62,1249 Leisure Lane,#6,WALNUTCREK,9999,"$699,800","$680,000",CO,1081.0,2.0,2.0,,N,0.0,1964.0,0.000000,0,"1,054",M,"Sunok Choe - Agt: 925-212-2605 - Fabulous 2 bedrooms, 2 baths Level - In  Golden Gate for sale.  This home was tastefully upgraded to current design standards.  As you enter the home, you will be rewarded with an open floorpan with large living room area, spacious kitchen, and dining area.  The kitchen has modern stainless steel appliances including wine refrigerator, abundant new cabinetry, large counter,  and recessed lighting.  The bathrooms are updated with beautiful tile and glass enclosures, new cabinetry, and lighting.  Other notable home features include a stained glass entryway, crown moldings throughout, coffer ceilings, new floors, skylight, solar tube light, washer and dryer, and clean interior patio.  This home is also close to Rossmoor’s two golf courses, restaurant/bar, and event center.",,,,,,,,,,,,,,59.0,,,,900 002 416,0,,CONTRA COSTA,https://listings.allaccessphoto.com/v2/1249-leisure-ln-walnut-creek-ca-94595-3535910/branded,,,01892799,2002809.0,,No,RESIDENTIAL,,4/14/2023,,,,,GOLDEN RAIN,,"Buyer pays GRF Membership fee of $12,500. Rental and smoking restrictions. Income qualification with Mutual with buyer needing income of 4 times the monthly HOA dues and taxes plus $75,000 in non-real estate related assets. Buyer also to attend Buyer's Alterations Meeting before close of escrow. Carport #261-3.",Contra Costa,Tice Creek,62,62,62,Tice Creek/ Leisure E-7,,ROSSMOOR,,,,,,,,6013.0,0.0,1,,,3/30/2023,,,Yes,,2ND WALNUT CREEK MUT.,,925 988 7600,,4/14/2023,Cash,1/27/2023 2:25 PM,$647,1030514,1/27/2023,,,01030514,Full Service,Excl Right,Market Listing,Front,Golden Gate,,1.0,No,,,Vacant,3/30/2023,,none,,,,,41018000,,"$699,800",CoOp,3/30/2023,No,89.0,,33,No,Community,,"$699,800","$680,000",4/14/2023,$629.05,Sue Choe,925 212 2605,Yes,,"Fabulous 2 bedrooms, 2 baths Level - In  Golden Gate for sale.  This home was tastefully upgraded to current design standards.  As you enter the home, you will be rewarded with an open floorpan with large living room area, spacious kitchen, and dining area.  The kitchen has modern stainless steel appliances including wine refrigerator, abundant new cabinetry, large counter,  and recessed lighting.  The bathrooms are updated with beautiful tile and glass enclosures, new cabinetry, and lighting.  Other notable home features include a stained glass entryway, crown moldings throughout, coffer ceilings, new floors, skylight, solar tube light, washer and dryer, and clean interior patio.  This home is also close to Rossmoor’s two golf courses, restaurant/bar, and event center.",,6.0,$629,LA & BA different company/franchise,97.0,97.0,For Sale,,Show and Sell,,$629.05,Public Records,,CA,4/14/2023,One Story,,,Yes,,,,https://listings.allaccessphoto.com/v2/YXWNGQL/unbranded,,8.0,4/15/2023,Yes,Yes,No,Yes,,1249.0,,Leisure Lane,94595,
41046445,SLD,3,1116 Leisure Ln,1,WALNUTCREK,9999,"$749,000","$750,000",CO,1081.0,2.0,2.0,,N,0.0,1964.0,0.000000,0,"1,142",M,"Inge Yarborough - Agt: 925-766-6896 - Exquisitely remodeled Golden Gate, level-in end unit with 2nd bath off guest bedroom and primary bath with roll-in shower. The home is open, light-filled and stunning with a kitchen window over the sink. Designed for comfortable, enjoyable living, it comes with all bells & whistles: lighted cabinets, pull-outs, SS appliances including a small wine fridge, fireplace & big flat-screen TV plus brand new LG washer dryer in closet. Other nice touches are a small desk off the dining area and a wall-length closet with tall frosted glass doors in the primary bedroom. The primary bathroom is expansive with a level-in shower + bench and the front bedroom has it's own small bathroom with a full shower. For private enjoyment of the outdoors, there is an atrium that allows light to flood into the adjacent kitchen, dining area and bedroom. The water heater was just replaced by the Mutual which still has responsibility for the HVAC system too. All this with the plethora of amenities that Rossmoor has to offer and you have a winning combination! The manor is also super close to the car-port which is the 3rd one from the street. Go Show!",,,,,,,,,,,,,,60.0,Yes,,Yes,900-002-283,0,,CONTRA COSTA,,,,01322819,01882902,,No,RESIDENTIAL,,1/29/2024,,,,,ROSSMOOR,,"2024 one-time Golden Rain Membership fee of $13,000 to be paid by buyer.  HOA fees are for 2024. Pre-escrow with Jackie Kaumans at Old Republic Title on Tice Valley Blvd. Rossmoor is a 55 years+ community.  ",Contra Costa,Tice Creek,3,11,11,"Tice Creek to Leisure Ln, Entry 2",,ROSSMOOR,,,,,,,,6013.0,1.0,1,,,1/8/2024,,,Yes,,2ND WALNUT CREEK MUT.,,925-988-7700,,2/8/2024,Cash,12/28/2023 12:32 PM,$693,01309306,1/5/2024,,,01527235,Full Service,Excl Right,Market Listing, by Front door,Golden Gate- Full Remodel,,1.0,No,,,Vacant,1/8/2024,,none,,,,,41046445,,"$749,000",CoOp,1/8/2024,No,98.0,,27,No,Community,,"$749,000","$750,000",2/8/2024,$693.80,Inge Yarborough,925-766-6896,Yes,,"Exquisitely remodeled Golden Gate, level-in end unit with 2nd bath off guest bedroom and primary bath with roll-in shower. The home is open, light-filled and stunning with a kitchen window over the sink. Designed for comfortable, enjoyable living, it comes with all bells & whistles: lighted cabinets, pull-outs, SS appliances including a small wine fridge, fireplace & big flat-screen TV plus brand new LG washer dryer in closet. Other nice touches are a small desk off the dining area and a wall-length closet with tall frosted glass doors in the primary bedroom. The primary bathroom is expansive with a level-in shower + bench and the front bedroom has it's own small bathroom with a full shower. For private enjoyment of the outdoors, there is an atrium that allows light to flood into the adjacent kitchen, dining area and bedroom. The water heater was just replaced by the Mutual which still has responsibility for the HVAC system too. All this with the plethora of amenities that Rossmoor has to offer and you have a winning combination! The manor is also super close to the car-port which is the 3rd one from the street. Go Show!",,5.0,$694,LA & BA different company/franchise,100.0,100.0,For Sale,,"Pending, but may still be shown.",,$693.80,Public Records,,CA,2/8/2024,One Story,,,No,,,1.0,https://www.zillow.com/view-imx/700c6eae-7d2d-433a-9050-7f9f52b7589b?setAttribution=mls&wl=true&initialViewType=pano&utm_source=dashboard,http://www.1116LeisureLn1.com,6.0,2/9/2024,Yes,Yes,Yes,Yes,,1116,,Leisure Ln,94595,
41046397,SLD,9,933 Terra California Dr,2,WALNUTCREK,9999,"$998,000","$1,300,000",CO,1697.0,2.0,2.0,0.0,Y,1.0,1974.0,0.000000,0,"1,160",M,Lori Young - Agt: 925-787-6357 - Exceptional Cascade model that has lovely updates throughout with patio and grassy lawn.  This home offers garage and carport that are conveniently located.  Simply a wonderful home that you will want to make your own!,,,,,,,,,,,,,,50.0,No,,No,186-200-056-7,0,,CONTRA COSTA,https://www.tourfactory.com/3124472,,,01422862,01422862,,No,RESIDENTIAL,,1/26/2024,,,,,ROSSMOOR,,"Pre-escrow ORT-Jackie, Buyer pays $13K GRF membership fee.  Garage #92 & Carport #80 are conveniently located.   Please provide ALL DIO disclosure documents signed by buyer with offer. Buyer and buyer’s agent to participate in a MOD Alteration Zoom Meeting prior to close of escrow.",Contra Costa,Rossmoor Pkwy,9,9,9,Entry 4,,ROSSMOOR,Walnut Creek (925) 944-6850,,,,,,,6013.0,1.0,1,,,1/5/2024,,Walnut Creek (925) 944-6850,Yes,,3RD WALNUT CREEK MUT,,925-988-7700,,1/26/2024,Conventional,12/27/2023 7:27 AM,$588,01363672,12/27/2023,,,01279936,Full Service,Excl Right,Market Listing,Front Door,Cascade Expanded,,3.0,No,,,Vacant,1/5/2024,,none,,,,,41046397,,"$998,000",,1/5/2024,No,99.0,,40,No,Community,,"$998,000","$1,300,000",1/26/2024,$766.06,Vacant Just Go,Vacant Just Go,Yes,,Exceptional Cascade model that has lovely updates throughout with patio and grassy lawn.  This home offers garage and carport that are conveniently located.  Simply a wonderful home that you will want to make your own!,,7.0,$766,Other,130.0,130.0,For Sale,,"Easy, Beautiful, Vacant-Just Go",,$766.06,Public Records,,CA,1/26/2024,One Story,,,Yes,186-200-056-7,,2.0,https://www.tourfactory.com/idxr3124472,,4.0,1/27/2024,Yes,No,No,Yes,,933,,Terra California Dr,94595,
41023565,SLD,15,1216 Fairlawn Ct,3,WALNUTCREK,9999,"$365,000","$378,000",CO,1054.0,2.0,1.0,0.0,N,0.0,1964.0,0.000000,0,"1,095",M,Lori Young - Agt: 925-787-6357 - This beautiful Sequoia model has wonderful views of rolling hills nestled amongst lush landscape and mature trees.  The location is highly desirable with easy stroll to many of Rossmoor's award wining amenities.   Carport parking is just steps away.  This is a home you will enjoy for years to come.,,,,,,,,,,,,,,59.0,,,,900-001-533-0,0,,CONTRA COSTA,https://www.tourfactory.com/3068475,,,843460,00818204,,No,RESIDENTIAL,,5/12/2023,,,,,ROSSMOOR,,"Pre-escrow ORT-Jackie, Buyer pays $12,500 GRF membership fee. Smoking ordinance. Buyer and buyers agent to participate in a MOD Alteration Zoom Meeting prior to close of escrow.",Contra Costa,Tice Creek,15,15,15,Entry 5,,ROSSMOOR,Walnut Creek (925) 944-6850,,,,,,,6013.0,0.0,2,,,4/22/2023,,Walnut Creek (925) 944-6850,Yes,,1ST WALNUT CREEK MUT,,925-988-7700,,5/12/2023,Conventional,4/7/2023 12:07 PM,$346,1363672.0,4/7/2023,,,01279936,Full Service,Excl Right,Market Listing,Front Door,Sequoia,,1.0,No,,,Vacant,4/22/2023,,no,,,,,41023565,,"$365,000",CoOp,4/22/2023,No,99.0,,49,No,Community,,"$365,000","$378,000",5/12/2023,$358.63,Vacant Just Go,Vacant Just Go,Yes,,This beautiful Sequoia model has wonderful views of rolling hills nestled amongst lush landscape and mature trees.  The location is highly desirable with easy stroll to many of Rossmoor's award wining amenities.   Carport parking is just steps away.  This is a home you will enjoy for years to come.  ,,6.0,$359,LA & BA different company/franchise,104.0,104.0,For Sale,,"Easy, Beautiful, Vacant",,$358.63,Public Records,,CA,5/12/2023,One Story,,,Yes,900-001-533-0,,1.0,https://www.tourfactory.com/idxr3068475,,8.0,5/13/2023,Yes,No,No,Yes,,1216.0,,Fairlawn Ct,94595,
41030087,SLD,0,1333 Running Springs Rd,2,WALNUTCREK,9999,"$525,000","$518,000",CO,1054.0,2.0,1.0,0.0,N,0.0,1964.0,0.000000,0,"1,054",M,Lana Fitzpatrick - Agt: 925-872-4660 - Updated Sonoma Wrap with great views.,,,,,,,,,,,,,,59.0,,,,900-002-256-7,0,,CONTRA COSTA,,,,02063075,1491373.0,,No,RESIDENTIAL,,6/12/2023,,,,,ROSSMOOR,,Sold,Contra Costa,Tice Creek,0,0,0,Entry 10,,ROSSMOOR,,,,,,,,6013.0,0.0,1,,,6/12/2023,,,Yes,,2ND WALNUT CREEK MUT.,,9257862300,,6/12/2023,Cash,6/12/2023 7:06 PM,$498,1805218,6/12/2023,,,019,Full Service,Excl Right,Market Listing,front door,Sonoma Wrap,,1.0,No,,,Vacant,6/12/2023,,none,,,,,41030087,,"$525,000",,6/12/2023,No,90.0,,18,No,Community,,"$525,000","$518,000",6/12/2023,$491.46,,,No,,Updated Sonoma Wrap with great views.,,6.0,$491,LA & BA different company/franchise,99.0,99.0,For Sale,,,,$491.46,Assessor Auto-Fill,,CA,6/12/2023,One Story,,,No,900-002-256-7,,,,,5000.0,6/12/2023,Yes,Yes,Yes,Yes,,1333.0,,Running Springs Rd,94595,
